"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2304256-<b>C</b>,"4 x 10-9",,0.71,1.16,'-,[1.11-1.22],TYK2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000539,19:10364976
rs941576-<b>A</b>,"1 x 10-10",,0.57,1.11,'-,[1.06-1.16],MEG3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000539,14:100839708
rs61839660-<b>?</b>,"5 x 10-9",,NR,1.6,'-,[1.44-1.76],IL2RA,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001394,10:6052734
rs1265564-<b>?</b>,"1 x 10-16",,NR,1.45,'-,[1.28-1.67],CUX2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001394,12:111270654
rs55846421-<b>?</b>,"2 x 10-9",,NR,0.113,'-,[0.081-0.156],NEMF,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90095483,14:49843683
rs4263714-<b>A</b>,"4 x 10-6",,'-,'-,"0.20912386 unit increase",[0.12-0.3],COBL,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90000529,7:50955790
rs4929965-<b>G</b>,"2 x 10-31",,'-,'-,"0.36365113 unit increase",[0.3-0.42],"ASCL2, MIR4686","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90000529,11:2176056
rs72802342-<b>A</b>,"6 x 10-10",,'-,'-,"0.2877386 unit increase",[0.2-0.38],"CTRB2, ZFP1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90000529,16:75200974
rs4366464-<b>C</b>,"1 x 10-9",,'-,'-,"0.403326 unit increase",[0.27-0.53],"IGF2-AS, INS-IGF2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90000529,11:2143569
rs78896587-<b>T</b>,"1 x 10-9",,'-,'-,"0.20937194 unit decrease",[0.14-0.28],"H19, IGF2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90000529,11:2055620
rs10974438-<b>C</b>,"1 x 10-6",,'-,'-,"0.12805976 unit increase",[0.076-0.18],GLIS3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90000529,9:4291928
rs2269247-<b>T</b>,"2 x 10-6",,'-,'-,"0.13817546 unit increase",[0.081-0.195],PGM1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90000529,1:63641613
rs56337234-<b>T</b>,"4 x 10-6",,'-,'-,"0.1142075 unit increase",[0.066-0.163],"TACC3, FGFR3","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90000529,4:1782676
rs478222-<b>?</b>,"4 x 10-9",,0.59,1.22,'-,[NR],EFR3B,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001255,2:25078886
rs539514-<b>?</b>,"6 x 10-11",,0.50,1.43,'-,[NR],LMO7,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001255,13:75752146
rs924043-<b>?</b>,"8 x 10-9",,0.85,1.35,'-,[NR],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001255,6:170063801
rs550448-<b>?</b>,"5 x 10-7",,0.86,1.32,'-,[NR],JAZF1-AS1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001255,7:28189423
rs12679857-<b>?</b>,"4 x 10-7",,0.69,1.2,'-,[NR],"TNFRSF11B, RNU6-12P","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001255,8:118965098
rs6547853-<b>?</b>,"8 x 10-7",,0.60,1.19,'-,[NR],"PLB1, FOSL2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001255,2:28423934
rs4084127-<b>?</b>,"3 x 10-6",,NR,1.11,'-,[NR],"FGF3, FGF4","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001255,11:69781755
rs10786436-<b>T</b>,"8 x 10-7",,NR,1.1,'-,[NR],HPSE2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001255,10:98540425
rs10137082-<b>?</b>,"6 x 10-6",,NR,1.1,'-,[NR],"IL25, EFS","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST001255,14:23370824
rs2153977-<b>T</b>,"4 x 10-7",,NR,1.491,'-,'-,MAGI3,"Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,1:113537449
rs2476601-<b>A</b>,"7 x 10-20",,NR,2.7073,'-,'-,PTPN22,"Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,1:113834946
rs2358994-<b>A</b>,"2 x 10-11",,NR,1.8688,'-,'-,"AP4B1-AS1, BCL2L15","Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,1:113886839
rs7679475-<b>A</b>,"4 x 10-10",,NR,1.6198,'-,'-,"TUBB4BP5, QRFPR","Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,4:121392885
rs11755527-<b>G</b>,"5 x 10-12",,0.47,1.13,'-,[1.08-1.19],BACH2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,6:90248512
rs947474-<b>G</b>,"4 x 10-9",,0.19,1.1,'-,[1.03-1.18],LINC02649,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,10:6348488
rs3825932-<b>T</b>,"3 x 10-15",,0.68,1.16,'-,[1.10-1.22],CTSH,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,15:78943104
rs229541-<b>T</b>,"2 x 10-8",,0.43,1.11,'-,[1.05-1.16],C1QTNF6,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,22:37195278
rs416603-<b>T</b>,"3 x 10-6",,0.44,1.06,'-,[1.01-1.12],RMI2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,16:11270222
rs6679677-<b>A</b>,"1 x 10-40",,NR,'-,'-,'-,"RSBN1, PHTF1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,1:113761186
rs3087243-<b>A</b>,"8 x 10-11",,NR,'-,'-,'-,"ICOS, CTLA4","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,2:203874196
rs17696736-<b>G</b>,"6 x 10-18",,NR,'-,'-,'-,NAA25,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,12:112049014
rs2292239-<b>A</b>,"3 x 10-16",,NR,'-,'-,'-,ERBB3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,12:56088396
rs2542151-<b>C</b>,"9 x 10-8",,NR,'-,'-,'-,"LINC01882, PTPN2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,18:12779948
rs9272346-<b>G</b>,"6 x 10-129",,NR,'-,'-,'-,HLA-DQA1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,6:32636595
rs2165738-<b>C</b>,"4 x 10-6",,0.27,1.07,'-,[1.01-1.13],"ITSN2, NCOA1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,2:24469940
rs12251307-<b>T</b>,"2 x 10-6",,NR,'-,'-,'-,"RPL32P23, RBM17","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,10:6081532
rs12708716-<b>G</b>,"7 x 10-13",,NR,'-,'-,'-,CLEC16A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000258,16:11086016
rs11258747-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,PRKCQ,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,10:6430929
rs2292239-<b>?</b>,"2 x 10-25",,NR,'-,'-,'-,ERBB3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,12:56088396
rs3184504-<b>?</b>,"3 x 10-27",,NR,'-,'-,'-,"ATXN2, SH2B3","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,12:111446804
rs3825932-<b>?</b>,"8 x 10-8",,NR,'-,'-,'-,CTSH,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,15:78943104
rs1893217-<b>?</b>,"4 x 10-15",,NR,'-,'-,'-,PTPN2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,18:12809341
rs11203203-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,UBASH3A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,21:42416077
rs3024505-<b>?</b>,"2 x 10-9",,0.83,1.19,'-,[1.10-1.30],"Y_RNA, IL10","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,1:206766559
rs9388489-<b>G</b>,"4 x 10-13",,0.45,1.17,'-,[1.10-1.24],CENPW,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,6:126377573
rs4948088-<b>?</b>,"4 x 10-8",,0.95,1.3,'-,[1.11-1.49],COBL,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,7:50959497
rs10509540-<b>?</b>,"1 x 10-28",,0.71,1.33,'-,[1.25-1.43],RNLS,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000392,10:88263276
